,HIGHDEG,INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,LOCALE,UGDS,ADM_RATE,C150_4,SAT_AVG,UGDS_BLACK,UGDS_WHITE,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,RELAFFIL,COSTT4_A,PCTPELL,PCTFLOAN
96,4,Brooks Institute,Ventura,CA,34.33851,-119.295231,21,415,0.9912,0.5591,""" """,0.0313,0.2602,0.0675,0.0241,0.0024,-2,32323,0.378,0.6321
97,4,Bryan University,Los Angeles,CA,34.061406,-118.302882,11,1324,""" """,0.0394,""" """,0.21,0.5355,0.1337,0.0181,0.0083,-2,23190,0.5675,0.7468
98,4,Phillips Graduate Institute,Chatsworth,CA,34.24203,-118.567631,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
99,4,California Institute of Integral Studies,San Francisco,CA,37.774768,-122.416537,11,104,""" """,""" """,""" """,0.1442,0.4423,0.2212,0.0385,0.0096,-2,""" """,0.5067,0.76
100,4,California Baptist University,Riverside,CA,33.928569,-117.42587,11,6435,0.7967,0.5538,976,0.0774,0.4068,0.3225,0.048,0.0065,75,39523,0.4756,0.7711
101,4,California College of the Arts,San Francisco,CA,37.76723,-122.399941,11,1512,0.6369,0.5425,""" """,0.039,0.2917,0.1349,0.162,0.0033,-2,55398,0.3336,0.5273
102,4,University of California-Hastings College of Law,San Francisco,CA,37.780718,-122.415395,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
103,4,California Institute of Technology,Pasadena,CA,34.139275,-118.12574,12,983,0.0883,0.9153,1545,0.0153,0.2787,0.1221,0.4385,0.001,-2,58755,0.1126,0.2303
104,4,California Lutheran University,Thousand Oaks,CA,34.225551,-118.879467,12,2799,0.6097,0.6577,1109,0.0432,0.5098,0.2547,0.0657,0.0114,39,50425,0.2722,0.5765
105,4,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,35.29889,-120.65856,23,19177,0.3089,0.75,1234,0.007,0.5872,0.1516,0.1185,0.0016,-2,24218,0.2012,0.3391
106,4,Alliant International University-San Diego,San Diego,CA,32.897056,-117.094398,11,236,0.3855,""" """,""" """,0.1102,0.2161,0.3263,0.0212,0,-2,30066,0.1232,0.1592
107,4,California State University-Bakersfield,Bakersfield,CA,35.350005,-119.104711,11,7524,0.706,0.4118,""" """,0.0638,0.1835,0.5186,0.0678,0.006,-2,15975,0.626,0.4069
108,4,California State University-Stanislaus,Turlock,CA,37.52577,-120.852511,23,7844,0.7272,0.5328,""" """,0.0246,0.2585,0.475,0.1121,0.0043,-2,16190,0.6006,0.3966
109,4,California State University-San Bernardino,San Bernardino,CA,34.182987,-117.322508,12,16439,0.8445,0.4796,884,0.0653,0.1588,0.5831,0.0605,0.0016,-2,16206,0.6281,0.4476
110,4,California State Polytechnic University-Pomona,Pomona,CA,34.054273,-117.819019,21,22269,0.5187,0.5638,1074,0.0329,0.2023,0.3864,0.2459,0.0019,-2,19042,0.4674,0.3963
111,4,California State University-Chico,Chico,CA,39.728003,-121.846333,13,15844,0.7096,0.5926,996,0.0213,0.4917,0.2627,0.0592,0.0057,-2,21715,0.4226,0.459
112,4,California State University-Dominguez Hills,Carson,CA,33.86524,-118.259316,13,12199,0.4234,0.3228,""" """,0.1472,0.0835,0.5732,0.0956,0.0018,-2,12399,0.6047,0.3827
113,4,California State University-Fresno,Fresno,CA,36.814477,-119.748258,11,20128,0.594,0.5236,910,0.0353,0.231,0.4541,0.1518,0.0032,-2,16316,0.5699,0.3316
114,4,California State University-Fullerton,Fullerton,CA,33.883627,-117.885349,21,32610,0.4447,0.5572,1021,0.0205,0.2397,0.3857,0.2158,0.0018,-2,15627,0.443,0.3308
115,4,California State University-East Bay,Hayward,CA,37.65707,-122.058073,12,12275,0.7031,0.3813,""" """,0.1088,0.1725,0.2831,0.2378,0.0019,-2,19793,0.4758,0.3865
116,4,California State University-Long Beach,Long Beach,CA,33.782752,-118.1123,11,31494,0.3546,0.6517,1054,0.038,0.1998,0.3791,0.2318,0.005,-2,17779,0.4974,0.3907
117,4,California State University-Los Angeles,Los Angeles,CA,34.066927,-118.168965,11,20643,0.6107,0.4105,871,0.0423,0.0757,0.6083,0.1581,0.001,-2,13479,0.663,0.3605
118,4,California State University-Northridge,Northridge,CA,34.23671,-118.526817,11,35409,0.5286,0.4676,914,0.0566,0.2446,0.4181,0.1125,0.0015,-2,18665,0.5227,0.3438
119,4,California State University-Sacramento,Sacramento,CA,38.55745,-121.42194,11,26400,0.7265,0.4373,937,0.0567,0.3028,0.276,0.2112,0.0041,-2,18241,0.5366,0.3994
120,4,University of California-Berkeley,Berkeley,CA,37.871969,-122.260423,12,27126,0.1602,0.9069,1382,0.0209,0.2758,0.1384,0.3509,0.0016,-2,33020,0.3143,0.2698
121,4,University of California-Davis,Davis,CA,38.539895,-121.751958,23,27547,0.4037,0.8321,1226,0.0209,0.2967,0.1834,0.342,0.0017,-2,32638,0.4284,0.4191
122,4,University of California-Irvine,Irvine,CA,33.648434,-117.841248,12,24474,0.3742,0.8649,1168,0.0178,0.1607,0.2399,0.4071,0.0005,-2,29759,0.4536,0.4349
123,4,University of California-Los Angeles,Los Angeles,CA,34.068892,-118.443901,11,29627,0.1856,0.9098,1330,0.0279,0.2784,0.1964,0.2997,0.0014,-2,32074,0.3588,0.3626
124,4,University of California-Riverside,Riverside,CA,33.97588,-117.331098,11,18784,0.5829,0.6933,1128,0.0453,0.1384,0.3616,0.3595,0.0018,-2,30174,0.5752,0.5538
125,4,University of California-San Diego,La Jolla,CA,32.876598,-117.237793,11,24801,0.3329,0.8618,1313,0.0117,0.2247,0.1623,0.3849,0.0013,-2,30092,0.4006,0.4124
126,4,University of California-San Francisco,San Francisco,CA,37.762736,-122.458049,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
127,4,University of California-Santa Barbara,Santa Barbara,CA,34.416281,-119.846404,22,20237,0.3634,0.8129,1253,0.0214,0.3654,0.2534,0.1903,0.0011,-2,33826,0.3806,0.423
128,4,University of California-Santa Cruz,Santa Cruz,CA,36.997258,-122.067993,13,16277,0.5572,0.7734,1149,0.0196,0.3465,0.3155,0.2035,0.0015,-2,33036,0.4598,0.5458
129,4,Sofia University,Palo Alto,CA,37.430325,-122.10866,13,16,""" """,""" """,""" """,0,0.5,0,0.125,0.0625,-2,""" """,""" """,""" """
130,3,California Christian College,Fresno,CA,36.75031,-119.711208,11,16,""" """,0,""" """,0.125,0.4375,0.3125,0,0.0625,41,24405,0.5161,0.4194
131,4,California Institute of the Arts,Valencia,CA,34.393337,-118.567303,21,946,0.2442,0.7018,""" """,0.0698,0.3975,0.1353,0.129,0.0042,-2,57704,0.3226,0.598
132,4,The California Maritime Academy,Vallejo,CA,38.069061,-122.231551,12,1047,0.667,0.5425,""" """,0.0181,0.5435,0.171,0.0888,0.0029,-2,21102,0.3435,0.5895
133,4,California Western School of Law,San Diego,CA,32.72194,-117.162597,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
134,4,Chapman University,Orange,CA,33.793678,-117.851481,12,6211,0.4704,0.7448,1210,0.0132,0.6049,0.1431,0.1029,0.0027,61,58948,0.2007,0.6461
135,4,Charles R Drew University of Medicine and Science,Los Angeles,CA,33.925658,-118.242791,21,69,1,""" """,""" """,0.3188,0.087,0.2029,0.1014,0,-2,29500,0.5176,0.7529
136,4,Concordia University-Irvine,Irvine,CA,33.6535,-117.81063,12,1884,0.8608,0.5583,1038,0.0324,0.4628,0.1783,0.0626,0.0042,68,42472,0.2933,0.6581
137,4,San Diego Christian College,Santee,CA,32.84281,-116.978151,21,940,0.555,0.4364,992,0.1372,0.4574,0.1989,0.0223,0.0043,88,39364,0.5336,0.8845
138,4,Church Divinity School of the Pacific,Berkeley,CA,37.876169,-122.261391,12,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,73,""" """,""" """,""" """
139,4,Claremont Graduate University,Claremont,CA,34.103778,-117.712394,21,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
140,4,Claremont McKenna College,Claremont,CA,34.102323,-117.706593,21,1293,0.1077,0.9031,1419,0.0418,0.4277,0.1183,0.1021,0.0008,-2,62010,0.1178,0.0935
141,4,Cogswell College,San Jose,CA,37.413664,-121.940553,11,607,0.438,0.2857,""" """,0.0428,0.4168,0.1697,0.1499,0.0016,-2,28968,0.5065,0.5887
142,4,Coleman University,San Diego,CA,32.821962,-117.136493,11,512,""" """,0.5745,""" """,0.0801,0.4922,0.1875,0.1406,0.0078,-2,30799,0.7457,0.7938
143,4,Western University of Health Sciences,Pomona,CA,34.058092,-117.747732,21,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
144,3,Columbia College-Hollywood,Tarzana,CA,34.179596,-118.538394,11,307,0.7849,0.4889,""" """,0.1889,0.4365,0.2085,0.0326,0,-2,31434,0.5191,0.7229
145,4,Dell'Arte International School of Physical Theatre,Blue Lake,CA,40.880871,-123.988878,41,24,""" """,""" """,""" """,0.0833,0.5,0.0833,0,0,-2,""" """,0.0333,0.1667
146,3,Design Institute of San Diego,San Diego,CA,32.731022,-117.149808,11,171,""" """,0.3333,""" """,0.0526,0.614,0.1754,0.0702,0,-2,25514,0.4807,0.6685
147,4,Dominican University of California,San Rafael,CA,37.980014,-122.514654,13,1448,0.8092,0.618,1047,0.0401,0.3287,0.2106,0.2023,0.0041,-2,57579,0.3306,0.6988
